id,"productnaam","productomschrijving","img","link","specialeactie"
83,"Sookie","Dress","ROYAL-ROBBINS_SOOKIE_3193c50013_4141_01_be.jpg","/royal-robbins-dress-sookie-3136c52003",""
84,"Flora","Dress","AYACUCHO_FLORA_3136C52012_0412.jpg","/ayacucho-dress-flora-3136c52012",""
85,"Teva","Assortment Teva originals","teva_EN.jpg","/teva",""
87,"Prime","Sun Glasses","SINNER_PRIME_2212a80013_1571_01.jpg","/sinner-glasses-prime-2412a82003?id_colour=704",""
88,"Rotorua","Shorts Women","JACK-WOLFSKIN_ROTORUA-SHORT_3133C12003_4747.jpg","/jack-wolfskin-short-rotorua-3133c12003",""
89,"Rotorua","Shorts Men","JACK-WOLFSKIN_ROTORUA_3372c10008_7272_01_Ver1.jpg","/jack-wolfskin-short-rotorua-3332c12004?id_colour=4324",""
90,"Bridgeton Low WP","Shoe Men","TIMBERLAND_BRIDGETON-LOW-WP_3d12c50016_6060_01_be.jpg","/timberland-shoe-bridgeton-low-waterproof-3722c52015?id_colour=3544",""
91,"Corliss Gore-Tex&copy;","Shoe Women","TIMBERLAND-CORLISS-GORETEX_3b12c50015_6040_01_be.jpg","/timberland-shoe-corliss-gore-tex-3712C52013",""
92,"Caucasus","Sleeping Bag","MILLET_CAUCASUS_1325C40002.jpg","/millet-sleeping-bag-caucasus-regular-1325c40002?id_colour=4284",""
93,"Caucasus long","Sleeping Bag","Caucasus_long.jpg","/millet-sleeping-bag-caucasus-long-1325c40003?id_colour=4284",""
94,"Futura 22","Daypack","DEUTER_FUTURA-22_1212c50015_5071_01_be.jpg","/deuter-daypack-futura-22-1212c50015",""
95,"Gels 3-pack","Sportliquids","OVERSTIMS_VOEDING_2913c40009_0101_01.jpg","/overstim-s-gels-sportliquids-3-pack-2d13c42009",""
96,"Tek Towel","Wash Kit","SEA-TO-SUMMIT_TECH-TOWEL-WASH_261zc50001_5252_01_be.jpg","/sea-to-summit-miscellaneous-tek-towel-wash-kit-large-2a1bc52001",""
97,"Compact 8x25","Binoculars","KITE-OPTICS_COMPACT-8X25_2713d30044_0070_01.jpg","/kite-optics-binoculars-compact-8x25-2b13d32044",""
98,"Poco Plus","Baby Carrier","OSPREY_POCO-PLUS_1251c20002_7272_01.jpg","/osprey-baby-carrier-poco-plus-1261c22002?id_colour=4324","Only"
99,"2+1","Outdoor t-shirts: 2 kopen, 1 gratis","2plus1_EN.jpg","/content/en/summerbrochure2015-2plus1",""
100,"Ambit 2S Graphite","Altimeter","SUUNTO_AMBIT-25-GRAPHIT_2421c30008_7015_02.jpg","/suunto-hoogtemeter-ambit-2s-grapphite-hartslagmeter-2545C32007","Heart rate monitor included"
101,"Ugrip Chain 585-5","Lock","ABUS_UGRIP-CHAIN_7272c50008_7070_01_be.jpg","/abus-lock-ugrip-chain-a381c52008",""
102,"Vybe D7","Folding Bike","DAHON_VYBE_7116c30001_1010_02_be.jpg","/dahon-folding-bike-vybe-d7-a216c32001?id_colour=4168",""
103,"Cluster 10+3","Backpack","VAUDE_CLUSTER_7511c20015_7070_51.jpg","/vaude-bicycle-bag-cluster-10-3l-a511c22016?id_colour=4168",""
104,"Activ TC","Helmet","Casco_Activ-TC_Black_left_0802.jpg","/casco-bicycle-helmet-activ-tc-a122c22004",""
105,"Dinsdag comfort 7V","City bike","BATAVUS_DINSDAG_7113c50060_7070_01_be.jpg","/batavus-citybike-dinsdag-comfort-7v-men-a213c52060",""
106,"Ichi","Bike Bag","CLARIJS_FIETSTAS_A513C52013_5203_01.jpg","/clarijs-covers-bike-bag-back-cc-ichi-krikke-a513c52013?id_colour=3190",""
107,"Vintage","Bicycle Bell","LIIX_VINTAGE-FIETSBAL_721ac50008_2424_01_be_Ver1.jpg","/liix-bicycle-bell-vintage-a391c52008","Only"
108,"Transport U4 Jeans","Citybike","CORTINA_TRANSPORT-U4_7119c50050_4545_01_be.jpg","/cortina-citybike-transport-u4-jeans-a223c52049",""
109,"Ride","T-shirt Women","ODLO_RIDE_7612c50005_3210_01_be.jpg","/odlo-t-shirt-ride-9112c52003",""
110,"Aircontact Pro 60+15","Backpack Men","Aircontact_Pro.jpg","/deuter-backpack-aircontact-pro-60-15-1232C50010","Raincover included"
111,"Aircontact Pro 55+15 SL","Backpack Women","Aircontact_Pro_55.jpg","/deuter-backpack-aircontact-pro-55-15-sl-1231C50006","Raincover included"
112,"Vespucci 4","Tent","COLEMAN_VESP_4_PARTY_GRILL_EN.jpg","/coleman-tent-vespucci-4-1142c52001","Free Campingaz Party Grill worth &euro; 54,95"
113,"Vespucci 6","Tent","COLEMAN_VESP_6_PARTY_GRILL_EN.jpg","/coleman-tent-vespucci-6-1152c52001","Free Campingaz Party Grill worth &euro; 54,96"
114,"Bandit","Video","TOMTOM_BANDIT_.jpg","/tomtom-video-bandit-2e21c52003",""
115,"Travel Bag","19644","CAMEL-ACTIVE_DUFFEL_2141c50010_5555_01_be.jpg","/camel-active-bags-travel-bag-19644-2211c52009",""
116,"Wash Bag","19743","CAMEL-ACTIVE_TOILETTAS_2171c50007_5555_01_be.jpg","/camel-active-bags-wash-bag-19743-2351c52007",""
117,"Picnic blanket","","LALAY_PICNIC_1475C52004_3737.jpg","/lalay-miscellaneous-picnic-blanket-1475c52004",""
118,"Smoozip +3&deg;C","Sleeping Bag","JACK-WOLFSKIN_SMOOZIP_1324c50006_4040_01_be.jpg","/jack-wolfskin-sleeping-bag-smoozip-3-1324c50006",""
119,"Green price","Buy a bag worth €1 and get the discount on the selected products","groeneprijs_EN.jpg","/content/en/Extra-green-discount-prices",""
120,"Green price","Buy a bag worth €1 and get the discount on the selected products","groeneprijs_EN.jpg","/content/en/Extra-green-discount-prices",""
121,"Hero 4 Black","Video","GOPRO_4.jpg","/gopro-video-hero-4-black-2e21c52001?id_colour=4168","Free bundle worth &euro;59,95"
122,"Green price","Buy a bag worth €1 and get the discount on the selected products","groeneprijs_EN.jpg","/content/en/Extra-green-discount-prices",""
123,"lookbook",NULL,"lookbook1.jpg","/lookbook/follow-the-sun",NULL
124,"lookbook",NULL,"lookbook2.jpg","/lookbook/follow-the-sun",NULL
127,"lookbook",NULL,"lookbook3.jpg","/lookbook/follow-the-sun",NULL
129,"lookbook",NULL,"lookbook4.jpg","/lookbook/follow-the-sun",NULL
130,"lookbook",NULL,"lookbook5.jpg","/lookbook/follow-the-sun",NULL
131,"lookbook",NULL,"lookbook6.jpg","/lookbook/follow-the-sun",NULL
132,"lookbook",NULL,"lookbook7.jpg","/lookbook/follow-the-sun",NULL
133,"lookbook",NULL,"lookbook8.jpg","/lookbook/follow-the-sun",NULL
134,"lookbook",NULL,"lookbook9.jpg","/lookbook/follow-the-sun",NULL
135,"lookbook",NULL,"lookbook11.jpg","/lookbook/follow-the-sun",NULL
136,"lookbook",NULL,"lookbook10.jpg","/lookbook/follow-the-sun",NULL
137,"lookbook",NULL,"lookbook12.jpg","/lookbook/follow-the-sun",NULL
138,"lookbook",NULL,"lookbook4.jpg","/lookbook/follow-the-sun",NULL
165,"lookbook",NULL,"lookbook5.jpg","/lookbook/follow-the-sun",NULL
