id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,groeneprijs,2plus1,dames,heren,junior,fashion,outdoor,uitrusting,camping,badmode,fietsen,"categorie",volgorde,actie
55,"Simona","T-shirt Dames","Ayacucho","AYACUCHO_SIMONA_-3114C30012_3535.jpg","/ayacucho-top-simona-3114c30012","","29,95","#DC6A8B polo2.jpg polo3.jpg","",NULL,NULL,NULL,1,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",160,NULL
56,"Betty Polo","Polo Dames","Ayacucho","AYACUCHO_BETTY-POLO_3119C42002_7272.jpg","/ayacucho-polo-betty-3119c42002","","29,95","polo1.jpg polo2.jpg polo3.jpg","",NULL,NULL,NULL,1,163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",163,NULL
57,"City","T-shirt Heren","Sprayway","SPRAYWAY_CITY_3312C50053_2020.jpg","","","44,95","","",NULL,NULL,NULL,1,NULL,166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",166,NULL
58,"Ridge","T-shirt Heren","Sprayway","SPRAYWAY_RIDGE_3312C40002_4040.jpg","/sprayway-t-shirt-ridge-3313c50001","","44,95","","",NULL,NULL,NULL,1,NULL,169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",169,NULL
59,"Zero Rules","T-shirt Heren","Columbia","COLUMBIA_ZERO-RULES_3312C40087_7272.jpg","/columbia-t-shirt-zero-rules-3312c40087","","34,95","#524F56 #0F61A4","",NULL,NULL,NULL,1,NULL,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",172,NULL
60,"Mountain Tech III","T-shirt Heren","Columbia","COLUMBIA_MOUNTAIN-TECH_3312C30044_4444.jpg","/columbia-t-shirt-mountain-tech-iii-3312c30044","","30","#425374 #6F9CBD","",NULL,NULL,NULL,1,NULL,175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",175,NULL
61,"Dome","T-shirt Heren","The North Face","THE-NORTH-FACE_DOME-BIKER_3312C40005_4040.jpg","","","29,95","","",NULL,NULL,NULL,1,NULL,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",178,NULL
62,"Company Car","T-shirt Heren","The North Face","THE-NORTH-FACE_COMPANY-CAR_3312C40018_7373.jpg","/the-north-face-t-shirt-company-car-3312c40018","","29,95","","",NULL,NULL,NULL,1,NULL,181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",181,NULL
63,"Mountaineering","T-shirt Heren","The North Face","THE-NORTH-FACE_MOUNTAINEERING_3312C50037_5656.jpg","","","29,95","","",NULL,NULL,NULL,1,NULL,184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",184,NULL
64,"Tumi SS","T-shirt Heren","Ayacucho","AYACUCHO_TUMI_3312C50063_5555.jpg","/ayacucho-t-shirt-tumi-3312c50063","","34,95","","",NULL,NULL,NULL,1,NULL,187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",187,NULL
65,"Beat The Mountain","T-shirt Heren","Ayacucho","AYACUCHO_BEATTHEMOUNTAIN_3312C50064_5555.jpg","/ayacucho-t-shirt-beat-the-mountain-3312c50064","","34,95","#7B8755 #565D6C #A8403D","",NULL,NULL,NULL,1,NULL,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",190,NULL
66,"Rhino SS","T-shirt Heren","Ayacucho","AYACUCHO_RHINO_3312C50069_3131.jpg","/ayacucho-t-shirt-rhino-3312c40034","","34,95","","",NULL,NULL,NULL,1,NULL,193,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",193,NULL
67,"Hummingbird QD","T-shirt Heren","Ayacucho","AYACUCHO_HUMMINGBIRD_3312C30023_3232.jpg","/ayacucho-t-shirt-hummingbird-3312c30023","","29,95","","",NULL,NULL,NULL,1,NULL,196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",196,NULL
68,"Fish QD","T-shirt Heren","Ayacucho","AYACUCHO_FISH_3312C40036_5353.jpg","/ayacucho-t-shirt-fish-3312c40036","","29,95","","",NULL,NULL,NULL,1,NULL,199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",199,NULL
69,"Dots QD","T-shirt Heren","Ayacucho","AYACUCHO_DOTS_3312C40035_4242.jpg","/ayacucho-t-shirt-dots-3312c40035","","29,95","","",NULL,NULL,NULL,1,NULL,202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",202,NULL
70,"Owl QD","T-shirt Heren","Ayacucho","AYACUCHO_OWL_3312C50065_3232.jpg","/ayacucho-t-shirt-owl-3312c50065","","29,95","#D84845 #6F7C4D","",NULL,NULL,NULL,1,NULL,205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",205,NULL
71,"Mud Racer QD","T-shirt Heren","Ayacucho","AYACUCHO_MUD-RACER_3312C50066_7272.jpg","/ayacucho-t-shirt-mud-racer-3312C50066","","29,95","#7C8759 #4D4E58","",NULL,NULL,NULL,1,NULL,208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",208,NULL
72,"Benny","Polo Heren","Ayacucho","AYACUCHO_BENNY-POLO_3318C42011_5555.jpg","/ayacucho-polo-benny-3318c42011","","29,95","","",NULL,NULL,NULL,1,NULL,211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",211,NULL
73,"Bikerace","T-shirt Heren","UAX","UAX_BIKERACE_3312A90032_5757.jpg","/uax-t-shirt-bikerace-3312a90032","","29,95","","",NULL,NULL,NULL,1,NULL,214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",214,NULL
74,"Recycle","T-shirt Heren","UAX","UAX_RECYCLE_3312C40043_7171.jpg","/uax-t-shirt-recycle-3312c40043","","29,95","","",NULL,NULL,NULL,1,NULL,217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",217,NULL
75,"You Decide","T-shirt Heren","UAX","UAX_YOU-DECIDE_3312C50073_5555.jpg","/uax-t-shirt-you-decide-3312c50073","","29,95","","",NULL,NULL,NULL,1,NULL,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",220,NULL
76,"Deer","T-shirt Heren","UAX","UAX_DEER-SHIRT_3312C40047_4141.jpg","/uax-t-shirt-deer-3312c40047","","29,95","","",NULL,NULL,NULL,1,NULL,223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",223,NULL
77,"Scubahuba","T-shirt Heren","UAX","UAX_SCUBAHUBA_3312C00023_4040.jpg","/uax-t-shirt-scubahuba-3312c00023","","29,95","","",NULL,NULL,NULL,1,NULL,226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",226,NULL
78,"Ecologica","T-shirt Heren","UAX","UAX_ECOLOGICA_3312C50074_7575.jpg","/uax-t-shirt-ecologica-3312c50074","","29,95","","",NULL,NULL,NULL,1,NULL,229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",229,NULL
79,"Re-cycle","T-shirt Heren","UAX","UAX_RE-CYCLE_3312C50075_3131.jpg","/uax-t-shirt-re-cycle-3312c50075","","29,95","","",NULL,NULL,NULL,1,NULL,232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",232,NULL
80,"Fast Bike","T-shirt Heren","UAX","UAX_FAST-BIKE_3318C52008_7171.jpg","/uax-polo-fast-bike-3318c52008","","29,95","","",NULL,NULL,NULL,1,NULL,235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",235,NULL
81,"Margot","Jurk","Patagonia","PATAGONIA_MARGOT_3136C32002_9003.jpg","/patagonia-jurk-margot-3136c32002?id_colour=283","54,95","39","","",NULL,NULL,1,NULL,238,NULL,NULL,238,238,NULL,NULL,238,NULL,"travel",238,NULL
82,"Wahia","Jurk","Jack Wolfskin","JACK-WOLFSKIN_WAHIA_3136C52021_5252.jpg","","65,95","45","","",NULL,NULL,1,NULL,244,NULL,NULL,241,241,NULL,NULL,246,NULL,"travel",244,NULL
83,"Sookie","Jurk","Royal Robbins","ROYAL-ROBBINS_SOOKIE_3193c50013_4141_01_be.jpg","/royal-robbins-jurk-sookie-3136c52003","59,95","39","","",NULL,NULL,1,NULL,241,NULL,NULL,244,244,NULL,NULL,244,NULL,"travel",240,NULL
84,"Flora","Jurk","Ayacucho","AYACUCHO_FLORA_3136C52012_0412.jpg","/ayacucho-jurk-flora-3136c52012","","49,95","flora1.jpg flora2.jpg","",NULL,NULL,NULL,NULL,247,NULL,NULL,247,251,NULL,NULL,247,NULL,"travel",247,NULL
85,"Teva","Assortiment Teva originals","","teva.jpg","/teva","","","","",NULL,NULL,NULL,NULL,242,NULL,NULL,242,NULL,NULL,NULL,245,NULL,"travel",242,1
87,"Prime","Zonnebril","Sinner","SINNER_PRIME_2212a80013_1571_01.jpg","/sinner-bril-prime-2412a82003?id_colour=704","34,95","25","","",NULL,NULL,NULL,NULL,256,256,NULL,256,256,NULL,NULL,256,NULL,"travel",256,NULL
88,"Rotorua","Damesshort","Jack Wolfskin","JACK-WOLFSKIN_ROTORUA-SHORT_3133C12003_4747.jpg","","55","39","","",NULL,NULL,1,NULL,259,NULL,NULL,NULL,259,NULL,NULL,NULL,NULL,"trekking",259,NULL
89,"Rotorua","Herenshort","Jack Wolfskin","JACK-WOLFSKIN_ROTORUA_3372c10008_7272_01_Ver1.jpg","/jack-wolfskin-short-rotorua-3332c12004?id_colour=4324","55","39","","",NULL,NULL,1,NULL,NULL,262,NULL,NULL,262,NULL,NULL,NULL,NULL,"trekking",262,NULL
90,"Bridgeton Low WP","Herenschoen","Timberland","TIMBERLAND_BRIDGETON-LOW-WP_3d12c50016_6060_01_be.jpg","/timberland-schoen-bridgeton-low-waterproof-3722c52015","109,95","79","","",NULL,NULL,1,NULL,NULL,265,NULL,NULL,265,NULL,NULL,NULL,NULL,"trekking",265,NULL
91,"Corliss Gore-Tex&copy;","Damesschoen","Timberland","TIMBERLAND-CORLISS-GORETEX_3b12c50015_6040_01_be.jpg","timberland-schoen-corliss-gore-tex-3712c52013","119,95","79","","",NULL,NULL,1,NULL,268,NULL,NULL,NULL,268,NULL,NULL,NULL,NULL,"trekking",268,NULL
92,"Caucasus","Slaapzak","Millet","MILLET_CAUCASUS_1325C40002.jpg","/millet-slaapzak-caucasus-regular-1325c40002?id_colour=4284","124,95","85","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"trekking",271,NULL
93,"Caucasus long","Slaapzak","Millet","Caucasus_long.jpg","/millet-slaapzak-caucasus-long-1325c40003?id_colour=4284","129,95","89","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,274,274,NULL,NULL,"trekking",274,NULL
94,"Futura 22","Dagrugzak","Deuter","DEUTER_FUTURA-22_1212c50015_5071_01_be.jpg","/deuter-dagrugzak-futura-22-1212c50015","99,95","69","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,277,NULL,NULL,NULL,"trekking",277,NULL
95,"Gel 3-pack","Voeding","Overstims","OVERSTIMS_VOEDING_2913c40009_0101_01.jpg","/overstim-s-gels-sportvoeding-3-pack-2d13c42009","6,9","5","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"trekking",280,NULL
96,"Tek Towel","Wash Kit","Sea to Summit","SEA-TO-SUMMIT_TECH-TOWEL-WASH_261zc50001_5252_01_be.jpg","/sea-to-summit-diverse-tek-towel-wash-kit-large-2a1bc52001","34,95","25","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,283,283,NULL,NULL,"trekking",283,NULL
97,"Compact 8x25","Verrekijker","Kite Optics","KITE-OPTICS_COMPACT-8X25_2713d30044_0070_01.jpg","/kite-optics-verrekijker-compact-8x25-2b13d32044","173","119","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,286,NULL,NULL,NULL,"trekking",286,NULL
98,"Poco Plus","Babydrager","Osprey","OSPREY_POCO-PLUS_1251c20002_7272_01.jpg","/suunto-hoogtemeter-ambit-2s-grapphite-2545c32008?id_colour=4123","","199","","Slechts",NULL,NULL,NULL,NULL,NULL,NULL,289,NULL,NULL,289,NULL,NULL,NULL,"trekking",289,NULL
