id,"productnaam","productomschrijving","img","link","specialeactie"
18,"Kodiak","Mini oplader","OUTDOOR-TECH_KODIAK-OPLADER_2G32C52001_Vertical.jpg","/outdoor-tech-oplader-kodiak-mini-2g32c52001",""
19,"Totally Royal","Bag","2125c50003_6565_01.jpg","/pieces-shopper-totally-royal-leather-travel-bag-2315c52003",""
20,"Ginger fiji","Jurk","KING-LOUIE_GINGER-DRESS_4163C52076_4904.jpg","",""
21,"Esther","Damesshort","4T7A0172.jpg","",""
22,"Blouse","","YAYA_BLOUSE_4132C52068_5353.jpg","",""
23,"Smartphone Projector","","LUCKIES_SMARTPHONE-PROJECTOR_2g31c50012_7015_02_be.jpg","/luckies-gadget-smartphone-projector-2h41c52060",""
24,"Lazy Afternoon","Hangmat","Amazonas_Lazy-Afternoon_1311C30001_3040_01.jpg","/amazonas-hangmat-lazy-afternoon-1311c30001",""
25,"Woodstock","Slaapzak","AYACUCHO_WOODSTOCK_1322c40002_0303_01-copy.jpg","/ayacucho-slaapzak-woodstock-1322c40002",""
26,"Junior Vario","Slaapzak kids","AYACUCHO_JUNIOR-VARIO_1321c20001_4040_02.jpg","/ayacucho-slaapzak-junior-vario-1321c20001",""
27,"Fox 30","Trekkingrugzak junior","fox-30.jpg","/deuter-rugzak-fox-30-1213c30001","Gratis Camlebak Eddy 0,4l t.w.v. &euro;15,95"
28,"Travelset","Minispray 8ml","CARE-PLUS_TRAVELSET_262zc30001_0101_02.jpg","/care-plus-diverse-travelset-minispray-4x8ml-2a23c32001",""
29,"Led Day Light","Zaklamp","VARTA_ZAKLAMP_2921C32017_0101_02.jpg","/varta-zaklamp-led-day-light-2921c32017","Gebruik je ecocheques"
30,"Darwin 2","Tent","COLEMAN_DARWIN-2_1121c50013_5050_01_be.jpg","/coleman-tent-darwin-2-1121c50013",""
31,"SEO 3","Hoofdlamp","LED-LENSER_SEO3_2511C30006.jpg","/led-lenser-hoofdlamp-seo-3-2911c32005",""
32,"Flowers","Zwemshort jongens","4T7A0200.jpg","/rumbl-zwemshort-flowers-8422c52033",""
33,"Palm tree","Zwemshort jongens","4T7A0198.jpg","/rumbl-zwemshort-palm-tree-8422c52034",""
34,"Happy Hippie","Bikini meisjes","4T7A0204.jpg","/lingadore-bikini-happy-hippie-8331c52055",""
35,"Flamingo","UV-shirt meisjes","4T7A0187.jpg","",""
36,"Shark","UV-shirt jongens","4T7A0186.jpg","/molo-kids-lycra-shark-8441c52002",""
37,"Vigga","Jumpsuit meisjes","4T7A0189.jpg","/name-it-jumpsuit-vigga-5284c52010",""
38,"Snorkelset","Junior","Speedo_snorkelset.jpg","/speedo-lifestyle-speelgoed-glide-junior-snorkel-set-2i21c42001",""
39,"Strandspeelgoed","Assortiment","Quut_speelgoed.jpg","/quut","Vanaf"
40,"Niveajulbo","Gratis Nivea bij aankoop van Julbo zonnebril","niveajulbo.jpg","/index.cfm/fuseaction/products.search/?searchvalue=julbo&flt_type_gender=junior&filters=type_gender|LIST",""
41,"Assortiment slippers","Voor kids en teens vanaf €16","assortiment_teenslippers_NL.jpg","/junior/badmode/sandalen-teenslippers",""
42,"Cozumel","Hoed","BARTS_COZUMEL_8634C52008_6464.jpg","",""
43,"Ivy Jade","Bikini","ivy-jade-bikini.jpg","",""
44,"Kachon Tee","T-shirt Heren","J&J-TECH_KACHON-TEE_8231C52015_7373.jpg","/jack-jones-tech-t-shirt-kachon-8231c52015",""
45,"Happie Hippie","Halterneck Bikini","4T7A0170.jpg","/lingadore-bikini-happie-hippie-8131c52020",""
46,"Mahalo","Halterneck strandjurk","4T7A0168.jpg","/lingadore-jurk-mahalo-8154c52003","Slechts"
47,"Boltana","Strandjurk","4T7A0164.jpg","",""
48,"Yolt","Zwemshort Heren","PROTEST_YOLT_8222C52003_4110.jpg","",""
49,"Assortiment teenslippers","50% op je tweede paar","reef.jpg","/index.cfm/fuseaction/products.search/?searchvalue=reef",""
50,"Assortiment zonnebescherming","50% op je tweede product","assortiment_zonnebescherming.jpg","/index.cfm/fuseaction/products.search/?searchvalue=nivea&flt_verzorging_onderhoud=zonnebescherming&filters=verzorging_onderhoud|LIST",""
51,"Skomer","T-shirt Dames","VAUDE_SKOMER_3112C50002_5353.jpg","",""
52,"Masai Mara","T-shirt Dames","AYACUCHO_MASAI-MARA_-3112C50044_3232.jpg","/ayacucho-t-shirt-masai-mara-dames-3112c40021",""
53,"Zambezi","T-shirt Dames","AYACUCHO_ZAMBEZI_3114C50024_0450.jpg","/ayacucho-top-zambesi-dames-3114c40006",""
54,"Elena","T-shirt Dames","AYACUCHO_ELENA_-3112C32001_4030.jpg","/ayacucho-t-shirt-elena-3112c32001",""
55,"Simona","T-shirt Dames","AYACUCHO_SIMONA_-3114C30012_3535.jpg","/ayacucho-top-simona-3114c30012",""
56,"Betty Polo","Polo Dames","AYACUCHO_BETTY-POLO_3119C42002_7272.jpg","/ayacucho-polo-betty-3119c42002",""
57,"City","T-shirt Heren","SPRAYWAY_CITY_3312C50053_2020.jpg","",""
58,"Ridge","T-shirt Heren","SPRAYWAY_RIDGE_3312C40002_4040.jpg","/sprayway-t-shirt-ridge-3313c50001",""
59,"Zero Rules","T-shirt Heren","COLUMBIA_ZERO-RULES_3312C40087_7272.jpg","/columbia-t-shirt-zero-rules-3312c40087",""
60,"Mountain Tech III","T-shirt Heren","COLUMBIA_MOUNTAIN-TECH_3312C30044_4444.jpg","/columbia-t-shirt-mountain-tech-iii-3312c30044",""
61,"Dome","T-shirt Heren","THE-NORTH-FACE_DOME-BIKER_3312C40005_4040.jpg","",""
62,"Company Car","T-shirt Heren","THE-NORTH-FACE_COMPANY-CAR_3312C40018_7373.jpg","/the-north-face-t-shirt-company-car-3312c40018",""
63,"Mountaineering","T-shirt Heren","THE-NORTH-FACE_MOUNTAINEERING_3312C50037_5656.jpg","",""
64,"Tumi SS","T-shirt Heren","AYACUCHO_TUMI_3312C50063_5555.jpg","/ayacucho-t-shirt-tumi-3312c50063",""
65,"Beat The Mountain","T-shirt Heren","AYACUCHO_BEATTHEMOUNTAIN_3312C50064_5555.jpg","/ayacucho-t-shirt-beat-the-mountain-3312c50064",""
66,"Rhino SS","T-shirt Heren","AYACUCHO_RHINO_3312C50069_3131.jpg","/ayacucho-t-shirt-rhino-3312c40034",""
67,"Hummingbird QD","T-shirt Heren","AYACUCHO_HUMMINGBIRD_3312C30023_3232.jpg","/ayacucho-t-shirt-hummingbird-3312c30023",""
68,"Fish QD","T-shirt Heren","AYACUCHO_FISH_3312C40036_5353.jpg","/ayacucho-t-shirt-fish-3312c40036",""
69,"Dots QD","T-shirt Heren","AYACUCHO_DOTS_3312C40035_4242.jpg","/ayacucho-t-shirt-dots-3312c40035",""
70,"Owl QD","T-shirt Heren","AYACUCHO_OWL_3312C50065_3232.jpg","/ayacucho-t-shirt-owl-3312c50065",""
71,"Mud Racer QD","T-shirt Heren","AYACUCHO_MUD-RACER_3312C50066_7272.jpg","/ayacucho-t-shirt-mud-racer-3312C50066",""
72,"Benny","Polo Heren","AYACUCHO_BENNY-POLO_3318C42011_5555.jpg","/ayacucho-polo-benny-3318c42011",""
73,"Bikerace","T-shirt Heren","UAX_BIKERACE_3312A90032_5757.jpg","/uax-t-shirt-bikerace-3312a90032",""
74,"Recycle","T-shirt Heren","UAX_RECYCLE_3312C40043_7171.jpg","/uax-t-shirt-recycle-3312c40043",""
75,"You Decide","T-shirt Heren","UAX_YOU-DECIDE_3312C50073_5555.jpg","/uax-t-shirt-you-decide-3312c50073",""
76,"Deer","T-shirt Heren","UAX_DEER-SHIRT_3312C40047_4141.jpg","/uax-t-shirt-deer-3312c40047",""
77,"Scubahuba","T-shirt Heren","UAX_SCUBAHUBA_3312C00023_4040.jpg","/uax-t-shirt-scubahuba-3312c00023",""
78,"Ecologica","T-shirt Heren","UAX_ECOLOGICA_3312C50074_7575.jpg","/uax-t-shirt-ecologica-3312c50074",""
79,"Re-cycle","T-shirt Heren","UAX_RE-CYCLE_3312C50075_3131.jpg","/uax-t-shirt-re-cycle-3312c50075",""
80,"Fast Bike","T-shirt Heren","UAX_FAST-BIKE_3318C52008_7171.jpg","/uax-polo-fast-bike-3318c52008",""
81,"Margot","Jurk","PATAGONIA_MARGOT_3136C32002_9003.jpg","/patagonia-jurk-margot-3136c32002?id_colour=283",""
82,"Wahia","Jurk","JACK-WOLFSKIN_WAHIA_3136C52021_5252.jpg","",""
83,"Sookie","Jurk","ROYAL-ROBBINS_SOOKIE_3193c50013_4141_01_be.jpg","/royal-robbins-jurk-sookie-3136c52003",""
84,"Flora","Jurk","AYACUCHO_FLORA_3136C52012_0412.jpg","/ayacucho-jurk-flora-3136c52012",""
85,"Teva","Assortiment Teva originals","teva.jpg","/teva",""
87,"Prime","Zonnebril","SINNER_PRIME_2212a80013_1571_01.jpg","/sinner-bril-prime-2412a82003?id_colour=704",""
88,"Rotorua","Damesshort","JACK-WOLFSKIN_ROTORUA-SHORT_3133C12003_4747.jpg","",""
89,"Rotorua","Herenshort","JACK-WOLFSKIN_ROTORUA_3372c10008_7272_01_Ver1.jpg","/jack-wolfskin-short-rotorua-3332c12004?id_colour=4324",""
90,"Bridgeton Low WP","Herenschoen","TIMBERLAND_BRIDGETON-LOW-WP_3d12c50016_6060_01_be.jpg","/timberland-schoen-bridgeton-low-waterproof-3722c52015",""
91,"Corliss Gore-Tex&copy;","Damesschoen","TIMBERLAND-CORLISS-GORETEX_3b12c50015_6040_01_be.jpg","timberland-schoen-corliss-gore-tex-3712c52013",""
92,"Caucasus","Slaapzak","MILLET_CAUCASUS_1325C40002.jpg","/millet-slaapzak-caucasus-regular-1325c40002?id_colour=4284",""
93,"Caucasus long","Slaapzak","Caucasus_long.jpg","/millet-slaapzak-caucasus-long-1325c40003?id_colour=4284",""
94,"Futura 22","Dagrugzak","DEUTER_FUTURA-22_1212c50015_5071_01_be.jpg","/deuter-dagrugzak-futura-22-1212c50015",""
95,"Gel 3-pack","Voeding","OVERSTIMS_VOEDING_2913c40009_0101_01.jpg","/overstim-s-gels-sportvoeding-3-pack-2d13c42009",""
96,"Tek Towel","Wash Kit","SEA-TO-SUMMIT_TECH-TOWEL-WASH_261zc50001_5252_01_be.jpg","/sea-to-summit-diverse-tek-towel-wash-kit-large-2a1bc52001",""
97,"Compact 8x25","Verrekijker","KITE-OPTICS_COMPACT-8X25_2713d30044_0070_01.jpg","/kite-optics-verrekijker-compact-8x25-2b13d32044",""
98,"Poco Plus","Babydrager","OSPREY_POCO-PLUS_1251c20002_7272_01.jpg","/suunto-hoogtemeter-ambit-2s-grapphite-2545c32008?id_colour=4123","Slechts"
99,"2+1","Outdoor t-shirts: 2 kopen, 1 gratis","2plus1.jpg","/content/nl/zomerfolder2015-2plus1",""
100,"Ambit 2S Graphite","Hoogtemeter","SUUNTO_AMBIT-25-GRAPHIT_2421c30008_7015_02.jpg","/suunto-hoogtemeter-ambit-2s-grapphite-2545c32008","Inclusief hartslagmeter"
101,"Ugrip Chain 585-5","Kabelslot","ABUS_UGRIP-CHAIN_7272c50008_7070_01_be.jpg","/abus-slot-ugrip-chain-a381c52008",""
102,"Vybe D7","Vouwfiets","DAHON_VYBE_7116c30001_1010_02_be.jpg","/dahon-vouwfiets-vybe-d7-a216c32001?id_colour=4168",""
103,"Cluster 10+3","Rugzak","VAUDE_CLUSTER_7511c20015_7070_51.jpg","/vaude-fietsrugzak-cluster-10-3l-a511c52002",""
104,"Activ TC","Helm","Casco_Activ-TC_Black_left_0802.jpg","/casco-fietshelm-activ-tc-a122c22004?id_colour=4168",""
105,"Dinsdag comfort 7V","Stadsfiets","BATAVUS_DINSDAG_7113c50060_7070_01_be.jpg","/batavus-citybike-dinsdag-comfort-7v-heren-a213c52060",""
106,"Ichi","Fietstas","CLARIJS_FIETSTAS_A513C52013_5203_01.jpg","/clarijs-covers-fietstas-achter-ichi-krikke-a513c52013",""
107,"Vintage","Fietsbel","LIIX_VINTAGE-FIETSBAL_721ac50008_2424_01_be_Ver1.jpg","/liix-fietsbel-vintage-a391c52008","Slechts"
108,"Transport U4 Jeans","Citybike","CORTINA_TRANSPORT-U4_7119c50050_4545_01_be.jpg","/cortina-citybike-transport-u4-jeans-dames-a223c52049",""
109,"Ride","T-shirt Dames","ODLO_RIDE_7612c50005_3210_01_be.jpg","/odlo-t-shirt-ride-9112c52003",""
110,"Aircontact Pro 60+15","Rugzak Heren","Aircontact_Pro.jpg","/deuter-rugzak-aircontact-pro-60-15-1232c30014","Inclusief regenhoes"
111,"Aircontact Pro 55+15 SL","Rugzak Dames","Aircontact_Pro_55.jpg","/deuter-rugzak-act-pro-55-15sl-dames-1231c30006","Inclusief regenhoes"
112,"Vespucci 4","Tent","COLEMAN_VESP_4_PARTY_GRILL.jpg","/coleman-tent-vespucci-4-1142c52001","Gratis Campingaz Party Grill twv &euro; 54,95"
113,"Vespucci 6","Tent","COLEMAN_VESP_6_PARTY_GRILL.jpg","/coleman-tent-vespucci-6-1152c52001","Gratis Campingaz Party Grill twv &euro; 54,96"
114,"Bandit","Actiecamera","TOMTOM_BANDIT_.jpg","/tomtom-video-bandit-2e21c52003",""
115,"Duffel","19644","CAMEL-ACTIVE_DUFFEL_2141c50010_5555_01_be.jpg","/camel-active-bags-reistas-19644-2211c52009",""
116,"Toilettas","19743","CAMEL-ACTIVE_TOILETTAS_2171c50007_5555_01_be.jpg","/camel-active-bags-toilettas-19743-2351c52007",""
117,"Picknickdeken","","LALAY_PICNIC_1475C52004_3737.jpg","/lalay-diverse-picknick-deken-1475c52004",""
118,"Smoozip +3&deg;C","Slaapzak","JACK-WOLFSKIN_SMOOZIP_1324c50006_4040_01_be.jpg","/jack-wolfskin-slaapzak-smoozip-3-1324c50006",""
119,"Groeneprijs","Koop een cadeaucheque t.w.v. €1 en geniet van de voordeelprijs","groeneprijs.jpg","/content/nl/groene-voordeelprijzen",""
120,"Groeneprijs","Koop een cadeaucheque t.w.v. €1 en geniet van de voordeelprijs","groeneprijs.jpg","/content/nl/groene-voordeelprijzen",""
121,"Hero 4 Black","Camera","GOPRO_4.jpg","/gopro-video-hero-4-black-2e21c52001?id_colour=4168","Gratis bundle t.w.v. &euro;59,95"
122,"Groeneprijs","Koop een cadeaucheque t.w.v. €1 en geniet van de voordeelprijs","groeneprijs.jpg","/content/nl/groene-voordeelprijzen",""
